Country ,Business,Year Founded,Address,Category,Notes,Source(s)
Comoros,Central Bank of the Comoros,1981,"Place de France, BP 405 Moroni, Comoros",Banking & Finance ,.,"www.sesric.org › central-bank-detail
https://en.wikipedia.org/wiki/Central_Bank_of_the_Comoros ;"
Congo (Democratic Republic of the: Kinshasa),Société nationale des Chemins de fer du Congo,1889,"Place De La Gare, 115 Lubumbashi, Congo Democratic Rep",Aviation & Transport (Railways),.,"https://www.bloomberg.com/profile/company/7651007Z:US
https://en.wikipedia.org/wiki/List_of_companies_of_the_Democratic_Republic_of_the_Congo
https://en.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_nationale_des_Chemins_de_fer_du_Congo"
Congo (Republic of the: Brazzaville),Development Bank of the Central African States,1975,"Brazzaville, Republic of the Congo",Banking & Finance ,This is the oldest verifiable active company in Congo.,"BP 910, Bangui, Central African Republic"
Cote d’Ivoire (Ivory Coast),La Poste,1945,"9 Rue Colonel Pierre Avia Paris, 75015 France",Postal Service,.,"https://web.archive.org/web/20101022073819/http://www.mfw4a.org/cote-d-ivoire/cote-d-ivoire-financial-sector-profile.html
https://en.wikipedia.org/wiki/List_of_companies_of_Ivory_Coast;  https://en.wikipedia.org/wiki/La_Poste_(Ivory_Coast)"
Djibouti,Ethio-Djibouti Railways,1901,No data,Aviation & Transport (Railways),.,"https://www.cia.gov/library/publications/the-world-factbook/geos/dj.html
https://en.wikipedia.org/wiki/Ethio-Djibouti_Railways"
Egypt,Egyptian National Railways,1854,"Egyptian National Railways, Ramsis Square, Cairo, Egypt",Aviation & Transport (Railways),.," https://www.ide.go.jp/English/Data/Africa_file/Company/egypt03.html
https://en.wikipedia.org/wiki/Egyptian_National_Railways;"
Equatorial Guinea,Guinea Ecuatorial Airlines,1996,"Malabo International Airport, Equatorial Guinea",Aviation & Transport (Airline),.,https://en.wikipedia.org/wiki/Guinea_Ecuatorial_Airlines
Eritrea,Asmara Brewery,1939,"Asmara, Eritrea","Distillers, Vintners, & Breweries (Brewery)",.,"Killion, Tom (1998). Historical Dictionary of Eritrea. The Scarecrow Press. ISBN 0-8108-3437-5.
https://en.wikipedia.org/wiki/Asmara_Brewery"
Ethiopia,National Bank of Ethiopia,1906,"National Bank of Ethiopia
Sudan Avenue, P.O.Box 5550",Banking & Finance ,.,"http://www.nbe.gov.et/
https://en.wikipedia.org/wiki/List_of_companies_of_Ethiopia
https://en.wikipedia.org/wiki/National_Bank_of_Ethiopia"
Gabon,BGFIBank Group,1971,"Libreville, Gabon",Banking & Finance ,.,"https://groupebgfibank.com/?chaine=background&id_article=182
https://en.wikipedia.org/wiki/BGFIBank_Group"
Ghana,No data,No data,No data,No data,.,
Guinea,Halco Mining,1962,No data,Mining (Aluminium),"Halco is the 51% owner of the stock of Compagnie des Bauxites de Guinee, the primary aluminium mine and smelter operator in Guinea, known as CBG.","Thomas O'Toole, Historical Dictionary of Guinea, 1978, p. 34
https://en.wikipedia.org/wiki/List_of_companies_of_Guinea
https://en.wikipedia.org/wiki/Halco_Mining"
Guinea-Bissau,Correios da Guiné-Bissau,1973,No data,Postal Service,.,"https://www.imf.org/en/Countries/GNB,
https://en.wikipedia.org/wiki/List_of_companies_of_Guinea-Bissau; https://en.wikipedia.org/wiki/Correios_da_Guin%C3%A9-Bissau"
Kenya,KCB Group Limited,1896,No data,Banking & Finance ,.,"https://bi.kcbgroup.com/fr/
https://en.wikipedia.org/wiki/List_of_companies_of_Kenyaia; https://en.wikipedia.org/wiki/KCB_Group_Limited"
